date,company_Name,ticker,broker,analyst,rating_before,rating_after,price_target_before,price_target_after
2012-08-09,Apple Inc,AAPL,STIFEL,AARON RAKERS,,BUY                          ,,29.46
2013-09-06,Apple Inc,AAPL,STIFEL,AARON RAKERS,BUY,BUY,,19.29
2015-12-11,Apple Inc,AAPL,STIFEL,AARON RAKERS,BUY,BUY,,37.5
2016-01-22,Apple Inc,AAPL,STIFEL,AARON RAKERS,BUY,BUY,,35
2016-03-21,Apple Inc,AAPL,STIFEL,AARON RAKERS,BUY,BUY,,30
2017-02-28,Apple Inc,AAPL,STIFEL,AARON RAKERS,OVERWEIGHT,POSITIVE,,32.5
2016-09-08,Apple Inc,AAPL,STIFEL,AARON RAKERS,,BUY                          ,,30
2016-10-26,Apple Inc,AAPL,STIFEL,AARON RAKERS,                             ,                             ,32.5,28.75
2017-12-27,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,MARKET PERFORM               ,,48.75
2018-01-22,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,MARKET PERFORM               ,,48.75
2018-02-12,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,MARKET PERFORM               ,,48.75
2018-05-02,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,MARKET PERFORM               ,,48.75
2018-08-01,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,                             ,48.75,52.5
2018-09-13,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,MARKET PERFORM               ,,52.5
2019-01-08,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,MARKET PERFORM               ,,40
2019-01-30,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,POSITIVE,MARKET PERFORM,,40
2019-05-01,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,                             ,47.5,53.75
2019-07-31,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,MARKET PERFORM               ,,53.75
2019-10-31,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,                             ,53.75,61.25
2020-01-29,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,                             ,61.25,78.75
2020-02-18,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,EQUAL WEIGHT                 ,,78.75
2020-04-14,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,OVERWEIGHT                   ,,78.75
2020-04-27,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,OVERWEIGHT                   ,,78.75
2020-06-11,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,OVERWEIGHT                   ,78.75,96.25
2020-07-24,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,OVERWEIGHT                   ,100,105
2020-08-05,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,OVERWEIGHT                   ,112.5,121.25
2020-09-15,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,OVERWEIGHT                   ,,140
2021-01-12,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,OVERWEIGHT                   ,140,155
2021-01-28,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,OVERWEIGHT                   ,155,160
2021-04-29,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,OVERWEIGHT                   ,,160
2021-07-28,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,OVERWEIGHT                   ,160,165
2021-11-23,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,OVERWEIGHT,OVERWEIGHT,,165
2022-01-21,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,OVERWEIGHT                   ,165,205
2022-04-29,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,OVERWEIGHT,OVERWEIGHT,,205
2022-06-15,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,OVERWEIGHT                   ,,205
2022-07-20,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,OVERWEIGHT                   ,205,185
2013-10-29,Apple Inc,AAPL,STIFEL,AARON RAKERS,                             ,BUY                          ,19.29,21.43
2013-12-23,Apple Inc,AAPL,STIFEL,AARON RAKERS,,BUY                          ,,23.21
2014-06-09,Apple Inc,AAPL,STIFEL,AARON RAKERS,,                             ,,27.5
2013-04-16,Apple Inc,AAPL,STIFEL,AARON RAKERS,Buy                          ,Buy                          ,600,600
2015-12-23,Apple Inc,AAPL,STIFEL,AARON RAKERS,Buy                          ,Buy                          ,140,140
2019-01-03,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,Market Perform               ,Market Perform               ,160,160
2013-01-16,Apple Inc,AAPL,STIFEL,AARON RAKERS,Buy                          ,Buy                          ,725,725
2013-01-24,Apple Inc,AAPL,STIFEL,AARON RAKERS,Buy                          ,Buy                          ,715,715
2016-01-27,Apple Inc,AAPL,STIFEL,AARON RAKERS,Buy                          ,Buy                          ,120,120
2013-07-24,Apple Inc,AAPL,STIFEL,AARON RAKERS,Buy                          ,Buy                          ,530,530
2017-04-20,Apple Inc,AAPL,STIFEL,AARON RAKERS,                             ,                             ,32.5,37.5
2016-10-18,Apple Inc,AAPL,STIFEL,AARON RAKERS,                             ,                             ,30,32.5
2014-11-25,Apple Inc,AAPL,STIFEL,AARON RAKERS,,                             ,,32.5
2015-02-25,Apple Inc,AAPL,STIFEL,AARON RAKERS,                             ,                             ,32.5,37.5
2017-07-25,Apple Inc,AAPL,STIFEL,AARON RAKERS,,HOLD                         ,,37.5
2015-09-28,Apple Inc,AAPL,STIFEL,AARON RAKERS,,BUY                          ,,37.5
2020-12-14,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,OVERWEIGHT                   ,,140
2021-04-19,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,OVERWEIGHT                   ,,160
2018-04-19,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,MARKET PERFORM               ,,48.75
2019-04-23,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,MARKET PERFORM               ,40,47.5
2016-04-27,Apple Inc,AAPL,STIFEL,AARON RAKERS,BUY,BUY,,30
2016-09-13,Apple Inc,AAPL,STIFEL,AARON RAKERS,,BUY                          ,,30
2022-02-09,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,OVERWEIGHT                   ,,205
2019-03-26,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,MARKET PERFORM               ,,40
2017-11-15,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,,MARKET PERFORM               ,,48.75
2020-03-13,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,EQUAL WEIGHT,OVERWEIGHT,,78.75
2014-12-29,Apple Inc,AAPL,STIFEL,AARON RAKERS,,BUY                          ,,32.5
2015-04-06,Apple Inc,AAPL,STIFEL,AARON RAKERS,,BUY                          ,,37.5
2015-07-02,Apple Inc,AAPL,STIFEL,AARON RAKERS,,BUY                          ,,37.5
2015-10-13,Apple Inc,AAPL,STIFEL,AARON RAKERS,,BUY                          ,,37.5
2015-10-20,Apple Inc,AAPL,STIFEL,AARON RAKERS,,BUY                          ,,37.5
2025-04-23,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,                             ,OVERWEIGHT                   ,275,245
2023-06-06,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,Overweight,Overweight,210,210
2023-07-24,Apple Inc,AAPL,WELLS FARGO,AARON RAKERS,Overweight,Overweight,225,225
2016-06-17,Apple Inc,AAPL,RBC,AMIT DARYANANI,                             ,                             ,28.75,30
2016-10-26,Apple Inc,AAPL,RBC,AMIT DARYANANI,,OUTPERFORM                   ,,31.25
2017-03-20,Apple Inc,AAPL,RBC,AMIT DARYANANI,,OUTPERFORM                   ,,38.75
2017-07-24,Apple Inc,AAPL,RBC,AMIT DARYANANI,,OUTPERFORM                   ,,42
2017-08-21,Apple Inc,AAPL,RBC,AMIT DARYANANI,,OUTPERFORM                   ,,44
2017-10-23,Apple Inc,AAPL,RBC,AMIT DARYANANI,,OUTPERFORM                   ,,45
2017-11-03,Apple Inc,AAPL,RBC,AMIT DARYANANI,,                             ,,47.5
