analyst,days_to_target,avg_difference
AARON RAKERS,113.5,4.637500000000001
AMIT DARYANANI,133.0,3.7159999999999997
BLAYNE CURTIS,171.57692307692307,4.720769230769231
C J MUSE,94.8,5.791999999999999
CHRISTOPHER DANELY,82.27272727272727,3.022272727272727
CHRISTOPHER ROLLAND,153.3409090909091,3.998409090909091
GUS RICHARD,161.69230769230768,6.644230769230769
HARLAN SUR,135.66666666666666,5.734166666666667
INGO WERMANN,16.333333333333332,3.321666666666666
IVAN FEINSETH,92.0,10.86
JIM KELLEHER,106.5,8.920000000000002
JOSEPH MOORE,228.35135135135135,5.196486486486487
KEVIN CASSIDY,188.75,4.631875
MATTHEW BRYSON,182.28571428571428,5.947142857142857
MATTHEW PRISCO,8.0,2.5700000000000003
QUINN BOLTON,124.38461538461539,4.94923076923077
ROSS SEYMORE,174.51282051282053,5.481282051282051
RUBEN ROY,165.9655172413793,5.128620689655173
RYAN MACWILLIAMS,191.5,5.590000000000002
SRINI PAJJURI,83.6,5.595999999999999
SUJI DESILVA,109.57142857142857,5.187619047619048
TIMOTHY ARCURI,236.15625,3.5278125
TOM O'MALLEY,154.33333333333334,3.3800000000000012
TRISTAN GERRA,207.3,7.5015
VIJAY RAKESH,132.4102564102564,4.168717948717949
VIVEK ARYA,100.65384615384616,5.161153846153846
WILLIAM STEIN,51.04347826086956,2.450869565217391
